time,p_x,p_y,p_z
1.971000000000000085e+01,-6.632007956504821777e-01,-6.100553274154663086e-01,9.909034371376037598e-01
1.971999999999999886e+01,-6.631348729133605957e-01,-6.101253628730773926e-01,9.908985495567321777e-01
1.973000000000000043e+01,-6.630685925483703613e-01,-6.101968884468078613e-01,9.909102916717529297e-01
1.973999999999999844e+01,-6.630021333694458008e-01,-6.102700829505920410e-01,9.909088611602783203e-01
1.975000000000000000e+01,-6.629356145858764648e-01,-6.103445291519165039e-01,9.909159541130065918e-01
1.976000000000000156e+01,-6.628689169883728027e-01,-6.104201674461364746e-01,9.909100532531738281e-01
1.976999999999999957e+01,-6.628021597862243652e-01,-6.104964613914489746e-01,9.909117221832275391e-01
1.978000000000000114e+01,-6.627354025840759277e-01,-6.105735301971435547e-01,9.909132719039916992e-01
1.978999999999999915e+01,-6.626685261726379395e-01,-6.106511950492858887e-01,9.909125566482543945e-01
1.980000000000000071e+01,-6.626016497611999512e-01,-6.107289791107177734e-01,9.908952116966247559e-01
1.980999999999999872e+01,-6.625347733497619629e-01,-6.108068227767944336e-01,9.908947944641113281e-01
1.982000000000000028e+01,-6.624680161476135254e-01,-6.108846664428710938e-01,9.908826351165771484e-01
1.982999999999999829e+01,-6.624019145965576172e-01,-6.109625697135925293e-01,9.908809065818786621e-01
1.983999999999999986e+01,-6.623361706733703613e-01,-6.110402941703796387e-01,9.908850193023681641e-01
1.985000000000000142e+01,-6.622711420059204102e-01,-6.111179590225219727e-01,9.908797144889831543e-01
1.985999999999999943e+01,-6.622066497802734375e-01,-6.111955046653747559e-01,9.909009337425231934e-01
1.987000000000000099e+01,-6.621428132057189941e-01,-6.112729310989379883e-01,9.909032583236694336e-01
1.987999999999999901e+01,-6.620799303054809570e-01,-6.113502979278564453e-01,9.909074306488037109e-01
1.989000000000000057e+01,-6.620181798934936523e-01,-6.114276647567749023e-01,9.909198880195617676e-01
1.989999999999999858e+01,-6.619576215744018555e-01,-6.115049719810485840e-01,9.909170866012573242e-01
1.991000000000000014e+01,-6.618982553482055664e-01,-6.115822196006774902e-01,9.909271001815795898e-01
1.992000000000000171e+01,-6.618402004241943359e-01,-6.116595268249511719e-01,9.909114837646484375e-01
1.992999999999999972e+01,-6.617835760116577148e-01,-6.117370128631591797e-01,9.909193515777587891e-01
1.994000000000000128e+01,-6.617283225059509277e-01,-6.118144392967224121e-01,9.909107685089111328e-01
1.994999999999999929e+01,-6.616744399070739746e-01,-6.118920445442199707e-01,9.909134507179260254e-01
1.996000000000000085e+01,-6.616219282150268555e-01,-6.119695305824279785e-01,9.909065365791320801e-01
1.996999999999999886e+01,-6.615708470344543457e-01,-6.120470166206359863e-01,9.909120202064514160e-01
