time,p_x,p_y,p_z
2.469999999999999929e+01,7.122012376785278320e-01,-8.238655328750610352e-01,8.664711713790893555e-01
2.471000000000000085e+01,7.122452259063720703e-01,-8.238229155540466309e-01,8.664735555648803711e-01
2.471999999999999886e+01,7.122963070869445801e-01,-8.237794637680053711e-01,8.664807081222534180e-01
2.473000000000000043e+01,7.123541831970214844e-01,-8.237352967262268066e-01,8.664858937263488770e-01
2.473999999999999844e+01,7.124187946319580078e-01,-8.236901164054870605e-01,8.664913177490234375e-01
2.475000000000000000e+01,7.124900221824645996e-01,-8.236441612243652344e-01,8.664949536323547363e-01
2.476000000000000156e+01,7.125676870346069336e-01,-8.235973119735717773e-01,8.664981722831726074e-01
2.476999999999999957e+01,7.126519083976745605e-01,-8.235498666763305664e-01,8.665006756782531738e-01
2.478000000000000114e+01,7.127425670623779297e-01,-8.235018253326416016e-01,8.665007352828979492e-01
2.478999999999999915e+01,7.128392457962036133e-01,-8.234530687332153320e-01,8.664938211441040039e-01
2.480000000000000071e+01,7.129418849945068359e-01,-8.234038949012756348e-01,8.664860725402832031e-01
2.480999999999999872e+01,7.130501866340637207e-01,-8.233541846275329590e-01,8.664810061454772949e-01
2.482000000000000028e+01,7.131640315055847168e-01,-8.233042359352111816e-01,8.664792776107788086e-01
2.482999999999999829e+01,7.132832407951354980e-01,-8.232538104057312012e-01,8.664786219596862793e-01
2.483999999999999986e+01,7.134077548980712891e-01,-8.232026696205139160e-01,8.664837479591369629e-01
2.485000000000000142e+01,7.135370969772338867e-01,-8.231504559516906738e-01,8.664889335632324219e-01
2.485999999999999943e+01,7.136709690093994141e-01,-8.230971097946166992e-01,8.664948344230651855e-01
2.487000000000000099e+01,7.138093113899230957e-01,-8.230427503585815430e-01,8.664979934692382812e-01
2.487999999999999901e+01,7.139518857002258301e-01,-8.229877352714538574e-01,8.665017485618591309e-01
2.489000000000000057e+01,7.140984535217285156e-01,-8.229326605796813965e-01,8.665116429328918457e-01
2.489999999999999858e+01,7.142487764358520508e-01,-8.228777647018432617e-01,8.665272593498229980e-01
2.491000000000000014e+01,7.144027948379516602e-01,-8.228227496147155762e-01,8.665456175804138184e-01
2.492000000000000171e+01,7.145600318908691406e-01,-8.227673768997192383e-01,8.665713071823120117e-01
2.492999999999999972e+01,7.147201299667358398e-01,-8.227112889289855957e-01,8.665956854820251465e-01
2.494000000000000128e+01,7.148830890655517578e-01,-8.226544857025146484e-01,8.666134476661682129e-01
2.494999999999999929e+01,7.150487899780273438e-01,-8.225973248481750488e-01,8.666317462921142578e-01
2.496000000000000085e+01,7.152171134948730469e-01,-8.225400447845458984e-01,8.666490912437438965e-01
2.496999999999999886e+01,7.153879404067993164e-01,-8.224829435348510742e-01,8.666628003120422363e-01
2.498000000000000043e+01,7.155604362487792969e-01,-8.224261999130249023e-01,8.666734695434570312e-01
2.498999999999999844e+01,7.157343029975891113e-01,-8.223693370819091797e-01,8.666826486587524414e-01
2.500000000000000000e+01,7.159089446067810059e-01,-8.223125934600830078e-01,8.666869401931762695e-01
2.501000000000000156e+01,7.160845994949340820e-01,-8.222560286521911621e-01,8.668040633201599121e-01
2.501999999999999957e+01,7.162564992904663086e-01,-8.221976161003112793e-01,8.669781088829040527e-01
2.503000000000000114e+01,7.164160609245300293e-01,-8.221337795257568359e-01,8.671885728836059570e-01
2.503999999999999915e+01,7.165502905845642090e-01,-8.220590949058532715e-01,8.674443960189819336e-01
2.505000000000000071e+01,7.166449427604675293e-01,-8.219675421714782715e-01,8.677332401275634766e-01
2.505999999999999872e+01,7.166873812675476074e-01,-8.218535780906677246e-01,8.680211305618286133e-01
2.507000000000000028e+01,7.166672348976135254e-01,-8.217125535011291504e-01,8.682790994644165039e-01
2.507999999999999829e+01,7.165750861167907715e-01,-8.215402960777282715e-01,8.685036897659301758e-01
2.508999999999999986e+01,7.164005041122436523e-01,-8.213320970535278320e-01,8.687248826026916504e-01
2.510000000000000142e+01,7.161366343498229980e-01,-8.210852146148681641e-01,8.689445257186889648e-01
2.510999999999999943e+01,7.157766819000244141e-01,-8.207964301109313965e-01,8.691680431365966797e-01
2.512000000000000099e+01,7.153147459030151367e-01,-8.204632997512817383e-01,8.693858981132507324e-01
2.512999999999999901e+01,7.147442102432250977e-01,-8.200829625129699707e-01,8.695949912071228027e-01
2.514000000000000057e+01,7.140576839447021484e-01,-8.196519613265991211e-01,8.697956204414367676e-01
2.514999999999999858e+01,7.132486701011657715e-01,-8.191674351692199707e-01,8.699833750724792480e-01
